Where can I find the DS-160?	Visit: Consular Electronic Application Center website to access the DS-160.

I am having problems accessing the DS-160.	Use only Internet Explorer 11 or higher, Firefox, or Google Chrome 58 when completing your appplication. Safari and Microsoft Edge are not supported.

Can my answers be in my native language?	No. All answers must be in English, using English characters only, except when you are asked to provide your full name in your native alphabet. Applications submitted in any language other than English will be denied, and you may be required to submit a new application. While you must answer all questions in English, translations of questions are available in many languages from the drop-down menu in the right upper corner of the application. These translations should assist you in completing the form in English.

Are all questions on the DS-160 mandatory?	Most questions are mandatory and must be answered in the spaces provided. You may leave spaces blank when the questions are marked “optional.” You may answer a question with “Does Not Apply,” when that question does not apply to you; however, all other questions must be answered. The system will not allow you to submit an application with any mandatory questions left unanswered. If you do not complete a mandatory question, the system will display an error message and require you to answer the question before continuing with the application. If you do not answer questions that apply to your circumstances and/or purpose of travel, the system will not accept your application.

Are additional forms required?	No. The online DS-160 application replaced the DS-156, DS-157, DS-158, and DS-3032, which are no longer necessary. NOTE: In addition to the DS-160, Treaty Trader/Treaty Investor visa applicants also must complete an additional form (see the Treaty Trader/Treaty Investor, E Visa Applicants section below for more information). 

What happens to my DS-160 if I select a U.S. Embassy or Consulate where I will be applying for my visa, but end up making an interview appointment instead at another U.S. Embassy or Consulate?	The Embassy or Consulate at which you actually apply should be able to access your form using the barcode on your DS-160 confirmation page, which you must bring to the visa interview. For example, a business traveler intends to apply for his visa at the U.S. Embassy in City X, so he selects City X as the location where he will submit his application when he completes his DS-160. He then has an urgent reason to travel to City Y on business. Because there is a U.S. Consulate in City Y, he schedules an appointment for a visa interview there, using the barcode from his completed DS-160 application for appointment scheduling. The U.S. Consulate in City Y is able to accept his DS-160 even though it lists the U.S. Embassy in City X as the location where he originally intended to submit his application.

How do I sign the DS-160 form?	You electronically sign your DS-160 by clicking the “Sign Application” button at the end of the form. Failure to sign may result in termination of the application. Your electronic signature certifies that you have read and understood the questions in the application and that your answers are true and correct to the best of your knowledge and belief. The submission of an application containing any false or misleading statements may result in the permanent refusal of a visa or denial of entry into the United States. All declarations made in the application are unsworn declarations made under penalty of perjury.

Can a third party complete the form on my behalf? Who is exempt from signing the form?	If an applicant is illiterate or unable to complete the application, the applicant must be assisted by a third party. The third party must be identified on the “Sign and Submit” page of the application. While the third party can assist the applicant in completing the application, he or she must instruct the applicant on how to endorse the application on his or her own behalf by clicking the “Sign Application” button.

The DS-160 contains terms that I am not familiar with. Are these terms explained?	Explanations of the following terms contained in the online DS-160 form are available to you as help topics while you complete the DS-160 and are also provided.

